n,m,k0,initial_nodes,iteration,reciprocal_threshold,df,entropy,normalized_entropy,root_is_leader,filename
20,3,1,1,2,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5901065520528463,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration2
20,3,1,1,3,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5776294256547121,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration3
20,3,1,1,4,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5890746341473099,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration4
20,3,1,1,5,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5989633334462307,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration5
20,3,1,1,6,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5904901606991053,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration6
20,3,1,1,7,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5971907069953934,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration7
20,3,1,1,8,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5989747510842558,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration8
20,3,1,1,9,0.29166666666666663,0.8944271909999159,1.0986122886681098,0.5829888025130854,False,prices_model_n20_m3_k01_initial_nodes1_p0.29_iteration9
20,3,1,1,0,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.369251889572486,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration0
20,3,1,1,1,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.38145718406002976,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration1
20,3,1,1,2,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.3688312127956248,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration2
20,3,1,1,3,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.3732976851381731,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration3
20,3,1,1,4,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.3801509715926909,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration4
20,3,1,1,5,0.3333333333333333,0.9459053029269173,0.6931471805599452,0.366921190670636,False,prices_model_n20_m3_k01_initial_nodes1_p0.33_iteration5
